Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,108.949997,111.809998,108.559998,111.800003,107.875175,11014300
2018-01-03,112.190002,113.190002,111.449997,112.279999,108.338326,9237900
2018-01-04,112.949997,113.000000,111.629997,112.230003,108.290077,7417400
2018-01-05,112.680000,112.680000,111.239998,111.620003,107.701500,6008300
2018-01-08,110.889999,111.279999,109.540001,110.019997,106.157661,8052600
2018-01-09,110.129997,110.860001,109.860001,109.940002,106.080475,5838000
2018-01-10,109.959999,110.500000,109.010002,109.470001,105.626976,6060000
2018-01-11,110.250000,111.080002,109.510002,110.989998,107.093613,6427000
2018-01-12,111.320000,112.720001,111.000000,112.470001,108.521660,5899900
2018-01-16,113.070000,113.160004,110.620003,110.690002,106.804146,8069200
2018-01-17,111.199997,112.209999,110.570000,111.970001,108.039207,7030700
2018-01-18,111.739998,111.989998,110.199997,110.419998,106.543617,8070900
2018-01-19,110.970001,111.089996,109.839996,110.589996,106.707642,10514300
2018-01-22,110.269997,111.559998,110.059998,111.099998,107.199753,8073600
2018-01-23,110.269997,111.139999,109.889999,110.410004,106.533981,7477300
2018-01-24,110.959999,111.430000,110.290001,110.500000,106.620811,7211800
2018-01-25,110.599998,111.820000,110.120003,110.550003,106.669060,6291000
2018-01-26,110.809998,112.529999,110.669998,112.190002,108.251488,7743800
2018-01-29,112.099998,112.449997,111.239998,111.540001,107.624306,6847800
2018-01-30,111.419998,112.419998,110.099998,110.110001,106.244507,8393900
2018-01-31,110.080002,110.120003,108.470001,108.669998,104.855057,9841400
2018-02-01,108.620003,110.650002,107.360001,110.489998,106.611168,9518900
2018-02-02,109.949997,110.580002,108.449997,108.699997,104.883995,9947700
2018-02-05,107.099998,108.629997,104.010002,104.699997,101.024422,15107900
2018-02-06,102.879997,106.199997,101.760002,106.169998,102.442818,17765100
2018-02-07,107.830002,108.029999,104.410004,104.760002,101.082321,12445000
2018-02-08,105.470001,105.820000,101.190002,101.349998,97.792030,12667500
2018-02-09,102.550003,103.750000,100.260002,103.089996,99.470955,12479700
2018-02-12,103.930000,104.639999,102.099998,103.389999,99.760406,9584700
2018-02-13,102.639999,104.309998,102.400002,104.120003,100.464790,8447900
2018-02-14,103.489998,104.760002,102.690002,104.599998,100.927933,7425700
2018-02-15,105.360001,105.570000,103.930000,105.180000,101.487579,6494700
2018-02-16,105.190002,107.349998,105.190002,106.529999,102.790184,8746400
2018-02-20,106.370003,107.570000,105.519997,105.980003,102.259491,6734500
2018-02-21,106.000000,106.910004,105.019997,105.050003,101.362152,6743300
2018-02-22,105.309998,106.010002,104.930000,105.239998,101.545464,4462200
2018-02-23,105.750000,107.360001,105.430000,107.250000,103.484909,6101100
2018-02-26,108.000000,109.809998,107.669998,109.809998,105.955032,8138200
2018-02-27,108.000000,108.160004,104.849998,104.870003,101.188446,14179600
2018-02-28,105.449997,105.570000,103.139999,103.160004,99.538490,10760800
2018-03-01,103.199997,104.029999,101.330002,102.570000,98.969208,10487300
2018-03-02,102.000000,103.169998,101.440002,102.989998,99.374451,7835400
2018-03-05,102.709999,103.970001,102.419998,103.410004,99.779724,5736700
2018-03-06,104.000000,104.949997,103.510002,104.940002,101.255997,6216200
2018-03-07,103.720001,104.239998,102.769997,103.589996,99.953392,6214800
2018-03-08,103.989998,104.589996,103.470001,104.029999,100.377945,6627000
2018-03-09,104.430000,104.750000,103.639999,104.730003,101.053383,5618400
2018-03-12,104.720001,105.940002,104.720001,105.169998,101.477928,6485300
2018-03-13,105.830002,105.830002,103.419998,103.730003,100.088486,6716700
2018-03-14,104.529999,104.650002,103.470001,103.900002,100.252510,6235900
2018-03-15,104.000000,104.290001,103.239998,103.239998,99.615677,5174600
2018-03-16,103.559998,104.269997,102.839996,102.870003,99.258667,10468000
2018-03-19,102.800003,102.949997,101.000000,101.480003,97.917473,6528300
2018-03-20,101.540001,102.150002,100.750000,101.349998,97.792030,8330300
2018-03-21,101.500000,102.940002,101.419998,101.820000,98.245522,6136400
2018-03-22,101.290001,101.639999,100.410004,100.599998,97.068359,8911600
2018-03-23,100.849998,101.110001,98.449997,98.540001,95.080681,7505100
2018-03-26,99.860001,100.779999,99.080002,100.650002,97.116608,7340100
2018-03-27,100.879997,101.180000,98.889999,99.360001,95.871887,7193500
2018-03-28,99.500000,100.080002,98.150002,98.540001,95.080681,9099700
2018-03-29,99.010002,101.279999,98.860001,100.440002,96.913979,9343600
2018-04-02,100.180000,100.989998,97.779999,98.660004,95.196457,8203700
2018-04-03,98.800003,99.489998,97.699997,99.419998,95.929787,8484700
2018-04-04,98.430000,101.150002,97.760002,100.949997,97.406067,8759200
2018-04-05,101.360001,102.379997,100.980003,102.110001,98.525352,6612800
2018-04-06,101.629997,102.190002,99.449997,100.349998,96.827141,7162400
2018-04-09,100.699997,101.510002,99.580002,99.699997,96.199951,7094300
2018-04-10,100.919998,101.529999,100.320000,101.370003,97.811333,8116800
2018-04-11,100.779999,101.650002,100.410004,100.800003,97.261337,6305000
2018-04-12,101.419998,101.510002,99.680000,100.389999,96.865730,7337800
2018-04-13,101.000000,101.519997,100.160004,100.349998,96.827141,6324600
2018-04-16,100.690002,101.000000,99.730003,100.239998,96.720993,10328000
2018-04-17,101.199997,102.589996,100.750000,102.169998,98.583237,9577400
2018-04-18,102.669998,102.709999,101.199997,101.209999,97.656944,5822100
2018-04-19,101.000000,101.580002,100.220001,100.889999,97.348183,6803400
2018-04-20,101.180000,101.400002,99.910004,100.239998,96.720993,6396900
2018-04-23,100.550003,100.720001,99.529999,100.150002,96.634171,5889800
2018-04-24,100.580002,100.849998,98.860001,99.459999,95.968384,6567700
2018-04-25,99.500000,101.489998,99.050003,101.150002,97.599060,8977700
2018-04-26,101.230003,101.379997,99.739998,99.839996,96.335030,8038400
2018-04-27,99.779999,99.989998,98.940002,99.230003,95.746452,8038000
2018-04-30,100.410004,101.370003,100.120003,100.330002,96.807831,8558900
2018-05-01,100.180000,100.699997,98.930000,100.059998,96.547318,6716200
2018-05-02,100.169998,100.720001,99.250000,99.620003,96.122772,9286400
2018-05-03,99.110001,99.250000,97.680000,98.760002,95.292953,10450800
