Date,Open,High,Low,Close,Adj Close,Volume
2018-01-08,43.587502,43.902500,43.482498,43.587502,41.061153,82271200
2018-01-09,43.637501,43.764999,43.352501,43.582500,41.056435,86336000
2018-01-10,43.290001,43.575001,43.250000,43.572498,41.047020,95839600
2018-01-11,43.647499,43.872501,43.622501,43.820000,41.280163,74670800
2018-01-12,44.044998,44.340000,43.912498,44.272499,41.706451,101672400
2018-01-16,44.474998,44.847500,44.035000,44.047501,41.494476,118263600
2018-01-17,44.037498,44.812500,43.767502,44.775002,42.179813,137547200
2018-01-18,44.842499,45.025002,44.562500,44.814999,42.217503,124773600
2018-01-19,44.652500,44.895000,44.352501,44.615002,42.029091,129700400
2018-01-22,44.325001,44.445000,44.150002,44.250000,41.685242,108434400
2018-01-23,44.325001,44.860001,44.205002,44.259998,41.694656,130756400
2018-01-24,44.312500,44.325001,43.299999,43.555000,41.030521,204420400
2018-01-25,43.627499,43.737499,42.632500,42.777500,40.298096,166116000
2018-01-26,43.000000,43.000000,42.514999,42.877499,40.392296,156572000
2018-01-29,42.540001,42.540001,41.767502,41.990002,39.556236,202561600
2018-01-30,41.382500,41.842499,41.174999,41.742500,39.323086,184192800
2018-01-31,41.717499,42.110001,41.625000,41.857498,39.431419,129915600
2018-02-01,41.792500,42.154999,41.689999,41.945000,39.513847,188923200
2018-02-02,41.500000,41.700001,40.025002,40.125000,37.799335,346375200
2018-02-05,39.775002,40.970001,39.000000,39.122501,36.854935,290954000
2018-02-06,38.707500,40.930000,38.500000,40.757500,38.395164,272975200
2018-02-07,40.772499,40.849998,39.767502,39.884998,37.573242,206434400
2018-02-08,40.072498,40.250000,38.757500,38.787498,36.539360,217562000
2018-02-09,39.267502,39.472500,37.560001,39.102501,36.986290,282690400
2018-02-12,39.625000,40.972500,39.377499,40.677502,38.476051,243278000
2018-02-13,40.487499,41.187500,40.412498,41.084999,38.861485,130196800
2018-02-14,40.759998,41.884998,40.720001,41.842499,39.577988,162579600
2018-02-15,42.447498,43.272499,42.250000,43.247501,40.906960,204588800
2018-02-16,43.090000,43.705002,42.942501,43.107498,40.774540,160704400
2018-02-20,43.012501,43.564999,42.855000,42.962502,40.637379,135722000
2018-02-21,43.207500,43.529999,42.752499,42.767502,40.452927,149886400
2018-02-22,42.950001,43.487499,42.927502,43.125000,40.791088,123967600
2018-02-23,43.417500,43.912498,43.384998,43.875000,41.500500,135249600
2018-02-26,44.087502,44.847500,44.052502,44.742500,42.321049,152648800
2018-02-27,44.775002,45.119999,44.540001,44.597500,42.183891,155712400
2018-02-28,44.814999,45.154999,44.512501,44.529999,42.120049,151128400
2018-03-01,44.634998,44.945000,43.165001,43.750000,41.382267,195208000
2018-03-02,43.200001,44.075001,43.112499,44.052502,41.668396,153816000
2018-03-05,43.802502,44.435001,43.630001,44.205002,41.812637,113605600
2018-03-06,44.477501,44.562500,44.032501,44.167500,41.777172,95154000
2018-03-07,43.735001,43.962502,43.567501,43.757500,41.389355,126814000
2018-03-08,43.869999,44.279999,43.767502,44.235001,41.841019,95096400
2018-03-09,44.490002,45.000000,44.347500,44.994999,42.559883,128740800
2018-03-12,45.072498,45.597500,45.052502,45.430000,42.971333,128828400
2018-03-13,45.647499,45.875000,44.810001,44.992500,42.557526,126774000
2018-03-14,45.080002,45.130001,44.452499,44.610001,42.195717,117473600
2018-03-15,44.625000,45.060001,44.517502,44.662498,42.245384,90975200
2018-03-16,44.662498,44.779999,44.404999,44.505001,42.096405,157618800
2018-03-19,44.330002,44.367500,43.415001,43.825001,41.453209,133787200
2018-03-20,43.810001,44.200001,43.735001,43.810001,41.438995,78597600
2018-03-21,43.759998,43.772499,42.814999,42.817501,40.500229,148219600
2018-03-22,42.500000,43.169998,42.150002,42.212502,39.927975,165963200
2018-03-23,42.097500,42.480000,41.235001,41.235001,39.003380,164115200
2018-03-26,42.017502,43.275002,41.610001,43.192501,40.854923,150164800
2018-03-27,43.419998,43.787498,41.730000,42.084999,39.807373,163690400
2018-03-28,41.812500,42.505001,41.297501,41.619999,39.367535,166674000
2018-03-29,41.952499,42.937500,41.724998,41.945000,39.674961,153594000
2018-04-02,41.660000,42.235001,41.117500,41.669998,39.414833,150347200
2018-04-03,41.910000,42.187500,41.220001,42.097500,39.819187,121112000
2018-04-04,41.220001,43.002499,41.192501,42.902500,40.580631,138422000
2018-04-05,43.145000,43.557499,43.020000,43.200001,40.862034,107732800
2018-04-06,42.742500,43.119999,42.049999,42.095001,39.816826,140021200
2018-04-09,42.470001,43.272499,42.462502,42.512501,40.211742,116070800
2018-04-10,43.250000,43.500000,42.882500,43.312500,40.968445,113634400
2018-04-11,43.057499,43.480000,42.924999,43.110001,40.776905,89726400
2018-04-12,43.352501,43.750000,43.259998,43.535000,41.178894,91557200
2018-04-13,43.695000,43.959999,43.462502,43.682499,41.318409,100497200
2018-04-16,43.757500,44.047501,43.707500,43.955002,41.576168,86313600
2018-04-17,44.122501,44.735001,44.102501,44.560001,42.148438,106421600
2018-04-18,44.452499,44.705002,44.220001,44.459999,42.053837,83018000
2018-04-19,43.439999,43.847500,43.165001,43.200001,40.862034,139235200
2018-04-20,42.650002,42.805000,41.357498,41.430000,39.187832,261964400
2018-04-23,41.707500,41.730000,41.022499,41.310001,39.074322,146062000
2018-04-24,41.417500,41.582500,40.305000,40.735001,38.530434,134768000
2018-04-25,40.654999,41.355000,40.602501,40.912498,38.698326,113528400
2018-04-26,41.029999,41.432499,40.842499,41.055000,38.833115,111852000
2018-04-27,41.000000,41.082500,40.157501,40.580002,38.383820,142623200
2018-04-30,40.532501,41.814999,40.459999,41.314999,39.079044,169709600
2018-05-01,41.602501,42.299999,41.317501,42.275002,39.987091,214277600
2018-05-02,43.807499,44.437500,43.450001,44.142502,41.753521,266157600
2018-05-03,43.970001,44.375000,43.610001,44.222500,41.829197,136272800
2018-05-04,44.562500,46.062500,44.542500,45.957500,43.470306,224805200
2018-05-07,46.294998,46.917500,46.187500,46.290001,43.784809,169805600
2018-05-08,46.247501,46.555000,45.917500,46.512501,43.995251,113611200
2018-05-09,46.637501,46.849998,46.305000,46.840000,44.305035,92844800
2018-05-10,46.935001,47.592499,46.912498,47.509998,44.938778,111957200
2018-05-11,47.372501,47.514999,46.862499,47.147499,44.767857,104848800
2018-05-14,47.252499,47.382500,46.965000,47.037498,44.663410,83115200
2018-05-15,46.695000,46.767502,46.275002,46.610001,44.257492,94780800
2018-05-16,46.517502,47.115002,46.500000,47.044998,44.670536,76732400
2018-05-17,47.000000,47.227501,46.590000,46.747501,44.388042,69176000
2018-05-18,46.797501,46.952499,46.532501,46.577499,44.226624,73190800
2018-05-21,47.000000,47.317501,46.727501,46.907501,44.539967,73603200
2018-05-22,47.095001,47.220001,46.695000,46.790001,44.428398,60962800
2018-05-23,46.587502,47.125000,46.439999,47.090000,44.713253,80233600
2018-05-24,47.192501,47.209999,46.552502,47.037498,44.663410,92936000
2018-05-25,47.057499,47.412498,46.912498,47.145000,44.765488,69844000
2018-05-29,46.900002,47.187500,46.717499,46.974998,44.604053,90056400
2018-05-30,46.930000,47.000000,46.695000,46.875000,44.509121,74762000
2018-05-31,46.805000,47.057499,46.535000,46.717499,44.359558,109931200
2018-06-01,46.997501,47.564999,46.937500,47.560001,45.159538,93770000
2018-06-04,47.910000,48.355000,47.837502,47.957500,45.536980,105064800
2018-06-05,48.267502,48.485001,48.090000,48.327499,45.888302,86264000
2018-06-06,48.407501,48.520000,47.980000,48.494999,46.047344,83734400
2018-06-07,48.535000,48.549999,48.084999,48.365002,45.923916,85388800
2018-06-08,47.792500,48.000000,47.442501,47.924999,45.506115,106627200
2018-06-11,47.837502,47.992500,47.552502,47.807499,45.394535,73234000
2018-06-12,47.847500,48.152500,47.787498,48.070000,45.643795,67644400
2018-06-13,48.105000,48.220001,47.610001,47.674999,45.268734,86553600
2018-06-14,47.887501,47.892502,47.555000,47.700001,45.292477,86440400
2018-06-15,47.507500,47.540001,47.064999,47.209999,44.827206,246876800
2018-06-18,46.970001,47.305000,46.799999,47.185001,44.803467,73939600
2018-06-19,46.285000,46.582500,45.862499,46.422501,44.079445,134314000
2018-06-20,46.587502,46.799999,46.432499,46.625000,44.271732,82514800
2018-06-21,46.812500,47.087502,46.235001,46.365002,44.024857,102847600
2018-06-22,46.529999,46.537498,46.174999,46.230000,43.896660,108801600
2018-06-25,45.849998,46.230000,45.182499,45.542500,43.243858,126652400
2018-06-26,45.747501,46.632500,45.634998,46.107498,43.780346,98276800
2018-06-27,46.307499,46.820000,46.007500,46.040001,43.716267,101141200
2018-06-28,46.025002,46.552502,45.950001,46.375000,44.034351,69460800
2018-06-29,46.572498,46.797501,45.727501,46.277500,43.941772,90950800
2018-07-02,45.955002,46.825001,45.855000,46.794998,44.433151,70925200
2018-07-03,46.947498,46.987499,45.884998,45.980000,43.659290,55819200
2018-07-05,46.314999,46.602501,46.070000,46.349998,44.010601,66416800
2018-07-06,46.355000,47.107498,46.299999,46.992500,44.620674,69940800
2018-07-09,47.375000,47.669998,47.325001,47.645000,45.240246,79026400
2018-07-10,47.677502,47.820000,47.544998,47.587502,45.185661,63756400
2018-07-11,47.125000,47.445000,46.902500,46.970001,44.599319,75326000
2018-07-12,47.382500,47.852501,47.327499,47.757500,45.347069,72164400
2018-07-13,47.770000,47.959999,47.724998,47.832500,45.418285,50055600
2018-07-16,47.880001,48.162498,47.605000,47.727501,45.318588,60172400
2018-07-17,47.437500,47.967499,47.299999,47.862499,45.446770,62138000
2018-07-18,47.945000,47.950001,47.482498,47.599998,45.197510,65573600
2018-07-19,47.422501,48.137501,47.422501,47.970001,45.548851,81147200
2018-07-20,47.945000,48.107498,47.542500,47.860001,45.444389,82704800
2018-07-23,47.669998,47.990002,47.389999,47.902500,45.484753,63957600
2018-07-24,48.112499,48.415001,48.012501,48.250000,45.814713,74791600
2018-07-25,48.264999,48.712502,48.107498,48.705002,46.246750,66839600
2018-07-26,48.652500,48.990002,48.402500,48.552502,46.101944,76304000
2018-07-27,48.747501,48.797501,47.525002,47.744999,45.335194,96096000
2018-07-30,47.974998,48.049999,47.267502,47.477501,45.081200,84118000
2018-07-31,47.575001,48.035000,47.334999,47.572498,45.171406,157492000
2018-08-01,49.782501,50.439999,49.327499,50.375000,47.832462,271742800
2018-08-02,50.145000,52.095001,50.087502,51.847500,49.230637,249616000
2018-08-03,51.757500,52.185001,51.369999,51.997501,49.373070,133789600
2018-08-06,52.000000,52.312500,51.767502,52.267502,49.629448,101701600
2018-08-07,52.330002,52.375000,51.689999,51.777500,49.164169,102349600
2018-08-08,51.512501,51.952499,51.130001,51.812500,49.197403,90102000
2018-08-09,52.382500,52.445000,51.799999,52.220001,49.584339,93970400
2018-08-10,51.840000,52.275002,51.667500,51.882500,49.436638,98444800
2018-08-13,52.327499,52.737499,51.924999,52.217499,49.755856,103563600
2018-08-14,52.540001,52.639999,52.064999,52.437500,49.965481,82992000
2018-08-15,52.305000,52.685001,52.082500,52.560001,50.082214,115230400
